"Period","Min.","Median","Max."
"201202",-22.8,-11.15,3
"201203",-6.6,2.35,13.3
"201204",1.7,11.7,23.8
"201205",10.45,18.3,23.3
"201206",14.3,20.975,25.2
"201207",16.35,23.2,28.15
"201208",13.8,19.8,27.5
"201209",10.95,15.55,21.2
"201210",1.45,9.7,16.85
"201211",-2.15,4.725,13.175
"201212",-13.8,-3.8,4.6
"201301",-12.05,-3.5,1.9
"201302",-5.4,-0.175,2.6
"201303",-7.9,-2.4,4.3
"201304",1.5,9.125,22.05
"201305",14.2,18.85,22.6
"201306",15.25,21.725,25.9
"201307",14,20.85,26.65
"201308",13.4,20.95,25.5
"201309",5.35,12.45,16.65
"201310",3.05,9.8,16.95
"201311",-1.85,5.825,13.3
"201312",-7.9,0.2,4.95
"201401",-19.15,-1.45,6.1
"201402",-14.15,0.775,4.35
"201403",0.95,7.45,14.6
"201404",1.35,10.525,17.15
"201405",7.8,16.95,23.5
"201406",13.4,18.075,23.75
"201407",18,22.45,25.1
"201408",14.15,21.3,28.3
"201409",6.35,14.025,20.8
"201410",-2.4,7.55,14.4
"201411",-5.15,1.2,10.7
"201412",-10.35,-0.8,6.45
"201501",-13,0.3,6.4
"201502",-6.45,-0.4,3.9
"201503",-0.05,4.7,12
"201504",2.85,8.375,18.35
"201505",11.65,15.2,22.75
"201506",16.65,20.475,24.95
"201507",14.8,21.35,28.05
"201508",15.55,22.6,27.3
"201509",11.1,16.025,28.75
"201510",0.25,6,15.85
"201511",-1.7,5,10.1
"201512",-9.1,1.85,7.85
"201601",-16.6,-5.95,4.9
"201602",-2,1.2,9.2
"201603",-2.45,4.35,9.55
"201604",4.6,12.825,17.65
"201605",9.65,16.1,19.05
"201606",12.85,20.325,26.6
"201607",14.1,23.2,26.45
"201608",13.5,21.45,26.15
"201609",8.55,16.925,21.45
"201610",0.4,4.45,19.3
"201611",-5.65,1.1,10.1
"201612",-8.05,-1.3,5.9
"201701",-17.2,-3.25,2.1
"201702",-14.05,-2.6,6.8
"201703",2.35,5.9,12.8
"201704",3.45,9.225,18.85
"201705",5.6,16.1,22.3
"201706",14.1,19.525,26.65
"201707",15.15,20.9,26.15
"201708",12.95,23.35,28.95
"201709",6.7,16.125,23.45
"201710",0.45,8.7,14.3
"201711",-2.4,2.95,9.05
"201712",-3.05,1.2,7
"201801",-10.1,-2.3,4.65
"201802",-13.5,-2.175,1.25
"201803",-11.4,-0.45,4.15
"201804",4.45,12.6,20.5
"201805",11.9,19.3,23.95
"201806",13.4,21.4,24.9
"201807",12,21.95,26.3
"201808",18.5,22.6,26.55
"201809",7.3,18.1,22.6
"201810",4.6,10.7,15.7
"201811",-7.65,-1.2,9.6
"201812",-7.55,-1.3,2.15
"201901",-11.05,-4.45,1.5
"201902",-6.15,1.1,5.5
"201903",-2.25,5.15,15
"201904",3.8,9.75,16.9
"201905",7.35,17.95,22.5
"201906",17.05,24.425,27.2
"201907",15,17.9,27.2
